State,total_orders,total_revenue,unique_customers_pincodes,unique_cities,firsttime_orders,curative_orders
-,45,107222.0,40,1,45,43
Andaman & Nicobar Islands,341,647426.35,19,4,341,314
Andaman and Nicobar Islands,5,11725.0,3,2,5,5
Andhra Pradesh,6015,10913263.52,728,15,6015,5493
Arunachal Pradesh,4037,7284228.25,61,16,4037,3859
Assam,14007,25782085.05,610,23,14007,13114
Bihar,7929,15786092.04,740,38,7929,7212
Chandigarh,2426,4246866.89,54,1,2426,2169
Chhattisgarh,6526,13390808.05,292,20,6526,5898
Dadra and Nagar Haveli,5,19250.0,1,1,5,5
Dadra and Nagar Haveli and Daman and Diu,172,320229.15,7,2,172,155
Daman and Diu,3,10050.0,3,2,3,3
Delhi,27479,47155994.54,115,2,27479,24746
England,6,5040.0,2,1,6,6
Goa,4551,8158632.75,103,6,4551,4169
Gujarat,21801,41569309.34,933,30,21801,19983
Haryana,17093,30465051.78,374,22,17093,15265
Himachal Pradesh,4954,9183541.92,395,12,4954,4501
International,217,1022302.4,160,1,217,198
Jammu & Kashmir,5658,10142933.45,213,16,5658,5138
Jammu and Kashmir,98,287750.0,59,12,98,98
Jharkhand,6272,12537072.22,353,27,6272,5735
Karnataka,34780,61969936.55,1095,35,34780,31860
Kerala,4306,6805730.7,1067,14,4306,3921
Lakshadweep,2,2599.0,2,1,2,1
Madhya Pradesh,13403,26065794.94,722,57,13403,12060
Maharashtra,67846,121790599.51,1516,38,67846,61289
Manipur,2790,5039293.25,53,9,2790,2579
Meghalaya,3271,5604356.81,70,8,3271,3039
Mizoram,755,1310042.85,34,8,755,702
Nagaland,3414,6091654.26,50,11,3414,3232
Not Found,16,61423.2,1,1,16,15
Odisha,10856,21165965.72,815,31,10856,9803
Puducherry,259,408931.35,29,2,259,234
Punjab,16301,28828335.21,580,25,16301,14737
Rajasthan,11473,21428519.67,795,35,11473,10193
Sikkim,2173,3766727.09,28,5,2173,2066
Tamil Nadu,10640,17362327.78,1054,34,10640,9787
Telangana,17420,31707411.16,451,12,17420,16021
Tripura,1444,2759831.64,74,4,1444,1314
Uttar Pradesh,38359,72101585.61,1528,73,38359,33638
Uttarakhand,6754,12714543.3,212,13,6754,6075
West Bengal,19632,36887171.49,1065,26,19632,17868
