area,code,tier,city,region,zone,v1,launch,age,cabins
Malad,1001,Metro,MUM,MMR,West 1,"MH, MAL",2023-10-23,28.033333333333335,3
Viman,1002,Tier-1,PUN,PMR,West 1,"MH, PUN",2024-04-01,22.666666666666668,2
Lajpat,1003,Metro,NDL,NCR,North 1,"ND, LAJ",2024-06-01,20.633333333333333,3
Thane,1004,Metro,THN,MMR,West 1,"MH, THN",2024-07-06,19.466666666666665,2
JP Ng,1005,Metro,BLR,BMR,South,"KA, BLR",2024-07-27,18.766666666666666,3
Rajouri,1006,Metro,NDL,NCR,North 1,"ND, RAJ",2024-08-31,17.6,3
Dadar,1007,Metro,MUM,MMR,West 1,"MH, DDR",2024-08-31,17.6,2
Dharam,1008,Tier-2,NAG,RoM (Rest of Maharastra),West 1,"MH, NAG",2024-09-14,17.133333333333333,2
Sec-51,1009,Metro,NOI,NCR,North 1,"ND, NDA",2024-10-05,16.433333333333334,2
Madhapur,1010,Tier-1,HYD,HMR,South,"TL, HYD",2024-10-12,16.2,3
Virar,1011,Metro,MUM,MMR,West 1,"MH, VIR",2024-10-29,15.633333333333333,2
Model Town,1012,Tier-2,KNP,UP & Bihar,North 2,"UP, KAN",2024-11-23,14.8,2
Civil Lines,1013,Tier-3,AGR,UP & Bihar,North 2,"UP, AGR",2024-11-26,14.7,2
Gurudev Ng,1014,Tier-2,LDH,Punjab,North 1,"PB, LUD",2024-11-30,14.566666666666666,2
Raj Ng,1015,Metro,GHZ,NCR,North 1,"UP, GHZ",2024-12-03,14.466666666666667,2
Whitefield,1016,Metro,BLR,BMR,South,"KA, BLR",2024-12-11,14.2,2
Kharghar,1017,Metro,NVM,MMR,West 1,"MH, KHR",2024-12-18,13.966666666666667,2
Gomati,1018,Tier-1,LKO,UP & Bihar,North 2,"UP, LCK",2024-12-21,13.866666666666667,2
Sec-35,1019,Tier-1,CDG,Punjab,North 1,"PB, CHD",2024-12-26,13.7,2
Jalandhar,1020,Tier-3,JAL,Punjab,North 1,"PB, JAL",2025-01-11,13.166666666666666,2
Badakdev,1021,Tier-1,AHM,Gujarat,West 2,"GUJ, AHM",2025-01-18,12.933333333333334,2
Mall Rd,1022,Tier-2,AMR,Punjab,North 1,"PB, AMR",2025-01-30,12.533333333333333,2
Alkapuri,1023,Tier-3,VAD,Gujarat,West 2,"GUJ, VDA",2025-02-01,12.466666666666667,2
LalKothi,1024,Tier-1,JAI,Rajasthan,West 2,"RAJ, JAI",2025-02-08,12.233333333333333,2
Vesu,1025,Tier-2,SUR,Gujarat,West 2,"GUJ, SUR",2025-02-15,12,2
Mahmoorganj,1026,Tier-2,VAR,UP & Bihar,North 2,"UP, VAR",2025-02-26,11.633333333333333,2
Ballygunge,1027,Metro,KOL,KMR,East,"WB, KOL",2025-03-08,11.3,2
Kanka,1028,Tier-2,RNC,East,East,"JH, RNC",2025-03-18,10.966666666666667,2
PCMC,1029,Tier-1,PUN,PMR,West 1,"MH, PUN",2025-03-26,10.7,2
ABCPoint,1030,Tier-2,GUW,North East,East,"AS, GUW",2025-03-22,10.833333333333334,2
Anna Ng,1031,Metro,CHE,Rest of South,South,"TN, CHE",2025-03-29,10.6,2
Ring Rd,1032,Tier-3,RJK,Gujarat,West 2,"GUJ, RAJ",2025-04-05,10.366666666666667,2
Shankar Ng,1033,Tier-2,RAI,Central,West 2,"CG, RAI",2025-04-12,10.133333333333333,1
Janpath,1034,Tier-2,BBS,East,East,"OD, BBS",2025-04-19,9.9,2
Sevoke Rd,1035,Tier-2,SGU,East,East,"WB, SGU",2025-04-26,9.666666666666666,2
Margao,1036,Tier-1,MAR,RoM (Rest of Maharastra),West 1,"GO, MAR",2025-05-03,9.433333333333334,2
KankarBagh,1037,Tier-2,PAT,UP & Bihar,North 2,"BR, PAT",2025-05-10,9.2,2
Dimapur,1038,Tier-3,DMR,North East,East,"NAG, DMR",2025-05-17,8.966666666666667,2
Canada,1039,Tier-2,NSK,RoM (Rest of Maharastra),West 1,"MH, NSK",2025-05-24,8.733333333333333,2
AB Rd,1040,Tier-2,IND,Central,West 2,"MP, IND",2025-05-31,8.5,2
Arera Cly,1041,Tier-3,BPL,Central,West 2,"MP, BPL",2025-06-14,8.033333333333333,2
Ballupur Rd,1042,Tier-2,DDN,Rest of North,North 1,"UK, DDN",2025-06-21,7.8,2
Jayalakshmipuram,1043,Tier-2,MYS,Rest of South,South,"JP, MYS",2025-06-28,7.566666666666666,2
Kalasiguda,1044,Tier-1,SEC,HMR,South,"KG, TEL",2025-07-05,7.333333333333333,2
Sec-46,1045,Metro,GUR,NCR,North 1,"HR, GUR",2025-07-09,7.2,2
Kailash Ng,1046,Tier-3,AUR,RoM (Rest of Maharastra),West 1,"MH, AUR",2025-07-19,6.866666666666666,2
Khadakpada,1047,Metro,KLN,MMR,West 1,"MH, KAL",2025-07-23,6.733333333333333,2
Begambagh,1048,Metro,MRT,NCR,North 1,"UP, MRT",2025-07-26,6.633333333333334,2
Kalyan Ng,1049,Metro,BLR,BMR,South,"KA, BLR",2025-08-02,6.4,2
Elegin Rd,1050,Tier-2,PRY,UP & Bihar,North 2,"UP, PRY",2025-08-09,6.166666666666667,2
Mira Rd,1051,Metro,THN,MMR,West 1,"MH, THN",2025-08-16,5.933333333333334,2
Basaveshwar,1052,Metro,BLR,BMR,South,"KA, BLR",2025-08-30,5.466666666666667,2
Howrah,1053,Metro,KOL,KMR,East,"WB, KOL",2025-09-20,4.766666666666667,2
Faridabad,1054,Metro,FDB,NCR,North 1,"HR, FDB",2025-09-27,4.533333333333333,2
Itanagar,1055,Tier-3,ITR,North East,East,"AR, ITN",2025-10-15,3.933333333333333,2
Adajan,1056,Tier-2,SUR,Gujarat,West 2,"GUJ, SUR",2025-10-25,3.6,2
Nikol,1057,Tier-1,AHM,Gujarat,West 2,"GUJ, AHM",2025-11-08,3.1333333333333333,2
Alambagh,1058,Tier-1,LKO,UP & Bihar,North 2,"UP, LCK",2025-11-29,2.433333333333333,2
Kondhwa,1059,Tier-1,PUN,PMR,West 1,"MH, PUN",2025-12-13,1.9666666666666666,2
New Town,1060,Metro,KOL,KMR,East,"WB, KOL",2026-01-10,1.0333333333333334,2
Ushagram,1061,Tier-2,ASN,East,East,"WB, ASN",2026-01-31,0.3333333333333333,2
