area,code,fy26_ebitda_pct,fy26_sales_l,fy26_tacos_l
Malad,1001,0.24,579.09734,440.1139784
Dadar,1007,0.27,552.2524800000001,403.14431040000005
Thane,1004,0.24,435.40445000000005,330.90738200000004
Virar,1011,0.27,416.2995999999999,303.8987079999999
Kharghar,1017,0.29,403.53323,286.5085933
Khadakpada,1047,0.17,221.42800000000005,183.78524000000004
Viman,1002,0.28,403.2221799999999,290.3199695999999
PCMC,1029,0.25,383.67834700000003,287.75876025
Canada,1039,-0.17,143.343,167.71130999999997
Margao,1036,0.02,198.4665,194.49716999999998
Badakdev,1021,0.26,561.33071,415.3847254
Alkapuri,1023,0.14,333.58480999999995,286.88293659999994
Vesu,1025,0.22,335.89409,261.99739020000004
Adajan,1056,-0.15,61.534,70.7641
Nikol,1057,0.19,51.36000000000001,41.601600000000005
LalKothi,1024,0.04,256.68098100000003,246.41374176000002
Arera Cly,1041,-0.06,205.87933999999998,218.2321004
Lajpat,1003,0.18,438.240309,359.35705338
Rajouri,1006,0.26,488.18568999999997,361.25741059999996
Sec-46,1045,0.11,177.08677,157.6072253
Begambagh,1048,-0.14,71.12028,81.0771192
Faridabad,1054,-0.37,35.50555,48.6426035
Sec-35,1019,-0.01,238.77369999999996,241.16143699999998
Jalandhar,1020,-0.14,154.18984000000003,175.77641760000006
Ballupur Rd,1042,-0.3,112.91688999999998,146.79195699999997
Model Town,1012,0.15,271.9316400000001,231.14189400000006
Civil Lines,1013,0.03,248.91987799999998,241.45228165999998
Mahmoorganj,1026,0.1,239.82875000000004,215.84587500000004
Elegin Rd,1050,0.06,98.50402,92.5937788
Alambagh,1058,0.02,33.48467000000001,32.81497660000001
Ballygunge,1027,0.39,751.3622600000001,458.33097860000004
Howrah,1053,0.36,185.02481000000003,118.41587840000003
Kanka,1028,0.1,339.4931000000001,305.54379000000006
Sevoke Rd,1035,0.19,313.60814009999996,254.02259348099997
Dimapur,1038,-0.4,134.88,188.832
Itanagar,1055,-0.37,27.889999999999997,38.2093
Whitefield,1016,0.19,354.09139999999996,286.814034
Basaveshwar,1052,-0.21,101.21910000000001,122.47511100000001
Madhapur,1010,0.24,498.1433,378.588908
Kalasiguda,1044,0.11,211.25024999999997,188.01272249999997
Jayalakshmipuram,1043,-0.18,116.59155000000001,137.57802900000002
