Clinic,City,Zone,Total Visits,Unique Pins,Pins for 80%,Top10 Conc%,Pin #1,Visits,Pin #2,Visits.1,Pin #3,Visits.2,Pin #4,Visits.3,Pin #5,Visits.4
Malad,Mumbai,West 1,92441,484,45,47.4,400064,7807,400097,7688,400067,5528,401107,4663,400098,3713
Lajpat,Delhi,North 1,69872,435,81,33.8,110024,3100,122001,2675,110025,2659,110092,2570,121001,2505
JP Ng,Bengaluru,South,69484,466,86,36.3,560068,5394,560078,4960,560100,4254,560076,3226,560099,1779
Dadar,Mumbai,West 1,67299,287,48,32.3,400028,3608,400070,3071,400071,2602,400017,2302,400022,2164
Badakdev,Ahmedabad,West 2,64450,317,61,27.1,380061,2343,382424,1953,380058,1805,380001,1716,380054,1690
Rajouri,Delhi,North 1,62177,258,32,59.8,110027,22906,110059,4779,110085,1548,110018,1546,110045,1535
Ballygunge,Kolkata,East,57874,766,301,11.6,700019,1641,700039,903,700023,658,700150,578,700104,533
Viman,Pune,West 1,56597,342,51,43.7,411014,6322,411028,3412,412207,3375,411057,2202,412105,2095
Thane,Mumbai,West 1,55528,242,31,47.9,400612,4663,400601,4421,421302,2909,400615,2822,400610,2523
Madhapur,Hyderabad,South,51815,354,79,30.4,500033,2710,500008,1854,500018,1681,500049,1582,500090,1523
Kharghar,Navi Mumbai,West 1,48545,104,13,76.3,410206,13386,410210,5763,410208,5274,400709,4054,400706,2032
Dharam,Nagpur,West 1,48533,305,69,30.4,440024,2682,440010,1720,441108,1645,440034,1430,440027,1396
Virar,Mumbai,West 1,46709,95,8,85.0,401303,10704,401305,7419,401209,6283,401208,5831,401203,3043
Sec-51,Noida,North 1,42114,216,18,72.3,201301,16161,201306,4204,203131,3378,201310,1462,201009,1358
Whitefield,Bengaluru,South,39309,185,20,63.3,560066,4597,560067,3661,560037,3610,560087,3283,560049,1826
Alkapuri,Vadodara,West 2,36710,214,45,41.1,390019,3726,390012,1875,392001,1690,390021,1554,390016,1179
ABCPoint,Guwahati,East,35971,412,172,15.7,781005,939,781028,768,781003,613,781011,545,781006,512
Gomati,Lucknow,North 2,35227,413,91,42.0,226010,7696,226016,941,226002,919,226003,870,226021,822
Janpath,Bhubaneswar,East,35052,380,165,20.0,751003,1201,751002,959,751001,938,751006,689,751019,637
Vesu,Surat,West 2,34207,221,40,53.9,395001,3350,395007,3276,394210,2494,395009,2065,395006,2062
Shankar Ng,Raipur,West 2,32874,221,64,44.4,492001,7662,495001,1573,491001,1057,493221,815,491441,714
Kankarbagh,Patna,North 2,32210,362,121,25.8,800020,1784,800001,1259,800002,801,842001,800,800014,774
Kanka,Ranchi,East,32093,264,72,36.9,834001,3086,834002,1667,834003,1358,834008,1067,825301,982
AB Rd,Indore,West 2,31830,114,15,76.3,452001,14183,452010,5136,456001,911,455001,868,453441,704
Civil Lines,Agra,North 2,29847,192,44,54.4,282001,4916,282002,3018,282007,2163,283203,1612,202001,1106
Model Town,Kanpur,North 2,29645,133,9,81.8,208005,11485,208001,6233,208012,3505,208007,647,208017,510
Sevoke Rd,Siliguri,East,28949,236,85,28.3,734001,2313,734003,898,734006,791,736101,776,736135,635
Ring Rd,Rajkot,West 2,27000,152,41,51.9,360001,2756,360007,2280,360005,1474,360002,1312,363641,1292
Sec-35,Chandigarh,North 1,26933,270,70,38.8,160022,2201,140301,1994,140055,1228,140107,900,160055,887
Raj Ng,Ghaziabad,North 1,25770,127,15,74.6,201019,4602,201002,4532,201017,3881,201001,1730,201009,1335
PCMC,Pune,West 1,24932,167,27,57.9,411057,4848,411027,1769,411017,1503,411033,1282,412105,1249
LalKothi,Jaipur,West 2,24189,207,53,39.9,302017,2475,302012,1967,302020,1060,302015,743,302019,660
Gurudev Ng,Ludhiana,North 1,23012,151,32,55.0,141001,4114,141003,2977,141008,1269,142001,748,151001,718
Kalasiguda,Hyderabad,South,22525,205,78,24.5,500003,1011,500005,682,500010,673,500023,623,500001,509
Mahmoorganj,Varanasi,North 2,20382,266,65,43.6,221010,2860,221001,984,221002,866,221003,853,221007,705
Sec-46,Gurgaon,North 1,20105,103,22,64.7,122001,5232,122002,1837,122003,1297,122017,873,122505,848
Howrah,Kolkata,East,20014,345,174,15.0,711101,596,711401,456,711114,324,712104,274,711302,267
Anna Ng,Chennai,South,19181,260,103,17.4,600100,476,600053,430,600056,346,600040,335,600106,315
Jalandhar,Jalandhar,North 1,18745,95,10,81.0,144004,7586,144003,2639,144001,2219,146001,742,144601,504
Khadakpada,Kalyan,West 1,18165,49,11,79.2,421301,3491,421306,2117,421202,1750,421503,1442,421201,1419
Arera Cly,Bhopal,West 2,17424,158,43,48.7,462001,3251,462010,1215,462030,694,462023,613,464001,547
Mall Rd,Amritsar,North 1,15425,146,31,64.2,143001,6425,143505,684,143521,503,143105,475,143416,423
Dimapur,Dimapur,East,14812,61,15,72.0,797112,4472,782460,1838,797001,1153,797103,625,795001,588
Margao,Goa,West 1,13707,142,47,43.0,403502,1527,403601,962,403501,544,403507,530,403401,483
Kalyan Ng,Bengaluru,South,12581,96,24,64.5,560043,3227,560045,1356,560032,812,560064,803,560016,418
Ballupur Rd,Dehradun,North 1,12278,72,15,76.1,248001,7279,247001,506,248007,303,249201,233,249401,227
Jayalakshmipuram,Mysuru,South,11658,143,57,34.4,570019,703,570023,605,570016,564,571401,472,570008,359
Canada,Nashik,West 1,11333,114,28,58.0,422003,1067,422010,941,422101,871,422009,797,422001,667
Basaveshwar,Bengaluru,South,9930,112,35,52.6,560091,1101,560040,923,560079,863,560056,479,560073,408
Elegin Rd,Prayagraj,North 2,9578,96,32,59.8,211001,3109,211003,597,211006,326,211008,314,211011,294
Mira Rd,Mumbai,West 1,8341,16,1,99.1,401107,6915,401105,340,400068,265,401101,243,400066,147
Adajan,Surat,West 2,7905,50,22,60.3,395004,919,395009,848,395006,581,394210,439,395005,435
Begambagh,Moradabad,North 1,7116,49,9,82.8,250001,3541,246701,516,244001,513,247776,281,247001,229
Kailash Ng,Solapur,West 1,7028,129,43,53.9,431001,1832,431136,453,431203,443,431003,249,431005,161
Nikol,Ahmedabad,West 2,6361,52,20,61.4,382350,772,382345,719,382418,440,382016,319,382330,312
Faridabad,Faridabad,North 1,4439,21,7,91.5,121001,955,121004,698,121102,570,121002,498,121003,453
Itanagar,Itanagar,East,2943,21,8,84.9,791111,997,791112,325,791102,257,791110,238,791120,167
Alambagh,Lucknow,North 2,2121,48,26,58.1,226002,258,226012,156,226008,142,226004,136,226005,133
Kondhwa,Pune,West 1,1507,35,15,68.5,411046,197,411037,179,411048,127,411060,125,411028,77
New Town,Kolkata,East,1172,23,14,63.9,700135,117,700124,87,700085,84,741248,78,700065,76
Ushagram,Asansol,East,303,8,4,100.0,722139,76,713131,68,713325,65,722121,46,722122,45
